Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
30/12/2025,OFFICESERV              MILDENHALL,26.40,,OFFICESERV              MILDENHALL,82A JAMES CARTER ROAD,MILDENHALL,IP28,UNITED KINGDOM OF GB AND NI,'AT253640055000011196139',Business Services-Professional Services
29/12/2025,PADDLE.NET* MAGICPAGES  LONDON,-123.30,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253630086000010115177',General Purchases-Computer Supplies
28/12/2025,PADDLE.NET* MAGICPAGES  LONDON,11.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253620090000010110076',General Purchases-Computer Supplies
28/12/2025,PADDLE.NET* MAGICPAGES  LONDON,123.30,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253620057000011148670',General Purchases-Computer Supplies
27/12/2025,PADDLE.NET* MAGICPAGES  LONDON,3.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT253620057000011177340',General Purchases-Computer Supplies
27/12/2025,TESCO PETROL 3731 3731T MILFORD HAVEN,59.25,,TESCO PETROL 3731 3731T MILFORD HAVEN,VICTORIA ROAD,MILFORD HAVEN,SA73,UNITED KINGDOM OF GB AND NI,'AT253610043000010826778',General Purchases-Fuel
26/12/2025,AMAZON.CO.UK*Z570A6T44  AMAZON.CO.UK,33.99,,AMAZON.CO.UK*Z570A6T44  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT253610043000010833547',General Purchases-Online Purchases
26/12/2025,AMZNMKTPLACE*Z57R98T14  AMAZON.CO.UK,19.98,,AMZNMKTPLACE*Z57R98T14  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT253610043000010833761',General Purchases-Online Purchases
26/12/2025,SP EVEN REALITIES       NORTH POINT,783.00,,SP EVEN REALITIES       NORTH POINT,ROOM 2502B25F148 ELECTRIC ROAD NORT,NORTH POINT,999077,HONG KONG,'AT253600037000010352936',General Purchases-General Retail
25/12/2025,AMZNMKTPLACE*Z54OV6NA4  AMAZON.CO.UK,11.99,,AMZNMKTPLACE*Z54OV6NA4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT253600078000010097870',General Purchases-Online Purchases
